,Unnamed: 0,cardinality,dimensionality,number of clusters,number of iterations,label mode,centroid mode,round,total time,label time,centroid time,cum_data_transfer,n_data_transfer,std_data_transfer,max_data_transfer,min_data_transfer,cum_centroids_transfer,n_centroids_transfer,std_centroids_transfer,max_centroids_transfer,min_centroids_transfer,cum_labels_transfer,n_labels_transfer,std_labels_transfer,max_labels_transfer,min_labels_transfer,cum_dists_transfer,n_dists_transfer,std_dists_transfer,max_dists_transfer,min_dists_transfer,cum_kernel,n_kernel,std_kernel,max_kernel,min_kernel
763,763,10000.0,200.0,64.0,3.0,numba,numba,1.0,0.304627895355,0.302623987198,0.00173401832581,,,,,,,,,,,,,,,,,,,,,,,,,
764,764,10000.0,200.0,64.0,3.0,numba,numba,2.0,0.301104784012,0.299176216125,0.00166630744934,,,,,,,,,,,,,,,,,,,,,,,,,
765,765,10000.0,200.0,64.0,3.0,cuda,numba,0.0,0.136604070663,0.134587049484,0.00173711776733,0.00141167998314,1.0,0.0,0.00141167998314,0.00141167998314,0.000351199992001,3.0,2.70702131885e-06,0.000119871996343,0.000113407999277,8.08640010655e-05,3.0,6.95872091181e-07,2.76800002903e-05,2.60160006583e-05,0.000129887998104,3.0,3.23785616599e-06,4.78719994426e-05,4.08639982343e-05,0.131916290283,3.0,1.00881587499e-05,0.0439825592041,0.0439584655762
766,766,10000.0,200.0,64.0,3.0,cuda,numba,1.0,0.137062072754,0.134796142578,0.00180697441101,0.00135039997101,1.0,0.0,0.00135039997101,0.00135039997101,0.000343872003257,3.0,6.065047004e-06,0.000119039997458,0.000106048002839,8.45440011472e-05,3.0,5.00083343749e-07,2.88639999926e-05,2.76800002903e-05,0.000122495997697,3.0,1.42558730999e-06,4.25279997289e-05,3.90399992466e-05,0.132180095673,3.0,0.000112012420529,0.0442183685303,0.0439767036438
767,767,10000.0,200.0,64.0,3.0,cuda,numba,2.0,0.13672709465,0.134557247162,0.00170612335205,0.00136268794537,1.0,0.0,0.00136268794537,0.00136268794537,0.000341952003539,3.0,4.3030970994e-06,0.000117247998714,0.00010790400207,8.67199990898e-05,3.0,1.83832214006e-06,3.05279996246e-05,2.63359993696e-05,0.000132256004959,3.0,4.37463214119e-07,4.47040013969e-05,4.37760017812e-05,0.131994495392,3.0,4.01610753215e-06,0.0440032310486,0.0439934082031
768,768,10000.0,200.0,256.0,3.0,numba,numba,0.0,1.18726801872,1.18445682526,0.00223898887634,,,,,,,,,,,,,,,,,,,,,,,,,
769,769,10000.0,200.0,256.0,3.0,numba,numba,1.0,1.18918085098,1.18655800819,0.00223779678345,,,,,,,,,,,,,,,,,,,,,,,,,
770,770,10000.0,200.0,256.0,3.0,numba,numba,2.0,1.18518805504,1.18258094788,0.00222086906433,,,,,,,,,,,,,,,,,,,,,,,,,
771,771,10000.0,200.0,256.0,3.0,cuda,numba,0.0,0.532599925995,0.529900074005,0.0022919178009,0.00141600000858,1.0,0.0,0.00141600000858,0.00141600000858,0.000683487996459,3.0,3.38114777441e-06,0.000232447996736,0.000224447995424,9.03040003031e-05,3.0,1.64093476836e-06,3.24160009623e-05,2.87999995053e-05,0.000132575999945,3.0,2.28719786335e-06,4.74239997566e-05,4.24639992416e-05,0.526743911743,3.0,6.74509730346e-05,0.175657348633,0.175493408203
772,772,10000.0,200.0,256.0,3.0,cuda,numba,1.0,0.533267021179,0.530358076096,0.00232195854187,0.00135609602928,1.0,0.0,0.00135609602928,0.00135609602928,0.000667007997632,3.0,3.71264744661e-06,0.000226784005761,0.000217695996165,9.06239990145e-05,3.0,1.33431368542e-06,3.1615998596e-05,2.84160003066e-05,0.000133567996323,3.0,4.60276239503e-07,4.48639988899e-05,4.38719987869e-05,0.527256256104,3.0,7.27423506541e-05,0.175852767944,0.175683456421
773,773,10000.0,200.0,256.0,3.0,cuda,numba,2.0,0.533062934875,0.53004026413,0.00240802764893,0.00138176000118,1.0,0.0,0.00138176000118,0.00138176000118,0.000679744005203,3.0,2.9251987166e-06,0.000230688005686,0.000224096000195,9.00159999728e-05,3.0,7.76985064872e-07,3.08800004423e-05,2.89919991046e-05,0.000132479999214,3.0,1.83119073462e-06,4.64639998972e-05,4.19839993119e-05,0.526995269775,3.0,0.000128468604031,0.175844955444,0.175552963257
