,n_samples,rule,kmin,kmax,t_ensemble,t_build,t_sl,t_accuracy_CI,t_accuracy_H,t_sl_disk,t_store,t_accuracy_CI_disk,t_accuracy_H_disk,biggest_cluster,type_mat,n_assocs,n_max_degree,min_degree,max_degree,mean_degree,std_degree,accuracy_CI,accuracy_H,sl_clusts,accuracy_CI_disk,accuracy_H_disk,sl_clusts_disk,round,disk
642,10000,2sqrt,100,200,2.233203887939453,2.233203887939453,0.16351699829101562,0.06342196464538574,,5.276305913925171,0.6820931434631348,0.06312298774719238,,338,sparse condensed const,2421835,0,0,775,242.18350000000001,156.41573906659778,1.0,,6,1.0,,6,2,False
643,10000,2sqrt,100,200,2.2369279861450195,2.2369279861450195,0.16352605819702148,0.06287693977355957,,5.282804012298584,0.6800899505615234,0.06255292892456055,,338,sparse condensed const,2421835,0,0,775,242.18350000000001,156.41573906659778,1.0,,6,1.0,,6,3,False
644,10000,2sqrt,100,200,2.229449987411499,2.229449987411499,0.16352510452270508,0.06352806091308594,,5.28881311416626,0.6816740036010742,0.06343698501586914,,338,sparse condensed const,2421835,0,0,775,242.18350000000001,156.41573906659778,1.0,,6,1.0,,6,4,False
645,10000,2sqrt,100,200,2.225198984146118,2.225198984146118,0.16709280014038086,0.06339097023010254,,5.2738330364227295,0.6815268993377686,0.06333613395690918,,338,sparse condensed linear,2421835,0,0,775,242.18350000000001,156.41573906659778,1.0,,6,1.0,,6,0,False
646,10000,2sqrt,100,200,2.2263240814208984,2.2263240814208984,0.16315293312072754,0.06324887275695801,,5.294370889663696,0.681196928024292,0.06359410285949707,,338,sparse condensed linear,2421835,0,0,775,242.18350000000001,156.41573906659778,1.0,,6,1.0,,6,1,False
647,10000,2sqrt,100,200,2.2270419597625732,2.2270419597625732,0.16387081146240234,0.0631110668182373,,5.286466121673584,0.6786379814147949,0.06329703330993652,,338,sparse condensed linear,2421835,0,0,775,242.18350000000001,156.41573906659778,1.0,,6,1.0,,6,2,False
648,10000,2sqrt,100,200,2.2258048057556152,2.2258048057556152,0.16347718238830566,0.0632028579711914,,5.287060022354126,0.682034969329834,0.06352996826171875,,338,sparse condensed linear,2421835,0,0,775,242.18350000000001,156.41573906659778,1.0,,6,1.0,,6,3,False
649,10000,2sqrt,100,200,2.224886178970337,2.224886178970337,0.16397714614868164,0.06290411949157715,,5.272742033004761,0.6826450824737549,0.06377887725830078,,338,sparse condensed linear,2421835,0,0,775,242.18350000000001,156.41573906659778,1.0,,6,1.0,,6,4,False
650,10000,"sk=sqrt_2,th=30%",200,260,0.6538798809051514,0.6538798809051514,0.7060041427612305,0.06283903121948242,,,,,,168,full,50276588,0,10000,10000,10000.0,0.0,1.0,,6,,,,0,False
651,10000,"sk=sqrt_2,th=30%",200,260,0.6537060737609863,0.6537060737609863,0.7044479846954346,0.06307411193847656,,,,,,168,full,50276588,0,10000,10000,10000.0,0.0,1.0,,6,,,,1,False
652,10000,"sk=sqrt_2,th=30%",200,260,0.6556150913238525,0.6556150913238525,0.7069010734558105,0.06425285339355469,,,,,,168,full,50276588,0,10000,10000,10000.0,0.0,1.0,,6,,,,2,False
653,10000,"sk=sqrt_2,th=30%",200,260,0.6542530059814453,0.6542530059814453,0.7058970928192139,0.062233924865722656,,,,,,168,full,50276588,0,10000,10000,10000.0,0.0,1.0,,6,,,,3,False
654,10000,"sk=sqrt_2,th=30%",200,260,0.6538729667663574,0.6538729667663574,0.7074282169342041,0.06338000297546387,,,,,,168,full,50276588,0,10000,10000,10000.0,0.0,1.0,,6,,,,4,False
655,10000,"sk=sqrt_2,th=30%",200,260,0.36108899116516113,0.36108899116516113,0.645007848739624,0.063446044921875,,,,,,168,full condensed,25138294,1,0,9999,4999.5,2886.7513315143719,1.0,,6,,,,0,False
656,10000,"sk=sqrt_2,th=30%",200,260,0.36034178733825684,0.36034178733825684,0.6473820209503174,0.06264996528625488,,,,,,168,full condensed,25138294,1,0,9999,4999.5,2886.7513315143719,1.0,,6,,,,1,False
657,10000,"sk=sqrt_2,th=30%",200,260,0.3601851463317871,0.3601851463317871,0.6445329189300537,0.06304597854614258,,,,,,168,full condensed,25138294,1,0,9999,4999.5,2886.7513315143719,1.0,,6,,,,2,False
658,10000,"sk=sqrt_2,th=30%",200,260,0.36019301414489746,0.36019301414489746,0.6477618217468262,0.0628972053527832,,,,,,168,full condensed,25138294,1,0,9999,4999.5,2886.7513315143719,1.0,,6,,,,3,False
659,10000,"sk=sqrt_2,th=30%",200,260,0.3600590229034424,0.3600590229034424,0.645780086517334,0.06265592575073242,,,,,,168,full condensed,25138294,1,0,9999,4999.5,2886.7513315143719,1.0,,6,,,,4,False
660,10000,"sk=sqrt_2,th=30%",200,260,2.2969119548797607,2.2969119548797607,0.18505287170410156,0.062426090240478516,,5.972660064697266,0.690546989440918,0.06302285194396973,,168,sparse complete,2704870,0,119,428,270.48700000000002,57.722676921639732,1.0,,6,1.0,,6,0,False
661,10000,"sk=sqrt_2,th=30%",200,260,2.285486936569214,2.285486936569214,0.18768596649169922,0.06249499320983887,,5.978774070739746,0.6930170059204102,0.06323480606079102,,168,sparse complete,2704870,0,119,428,270.48700000000002,57.722676921639732,1.0,,6,1.0,,6,1,False
662,10000,"sk=sqrt_2,th=30%",200,260,2.287105083465576,2.287105083465576,0.18696117401123047,0.06303811073303223,,5.962229013442993,0.6895599365234375,0.06306195259094238,,168,sparse complete,2704870,0,119,428,270.48700000000002,57.722676921639732,1.0,,6,1.0,,6,2,False
663,10000,"sk=sqrt_2,th=30%",200,260,2.2847371101379395,2.2847371101379395,0.18659305572509766,0.06375479698181152,,5.970407009124756,0.6917588710784912,0.0627889633178711,,168,sparse complete,2704870,0,119,428,270.48700000000002,57.722676921639732,1.0,,6,1.0,,6,3,False
664,10000,"sk=sqrt_2,th=30%",200,260,2.2852799892425537,2.2852799892425537,0.18445086479187012,0.06290411949157715,,5.986923933029175,0.6920218467712402,0.06283307075500488,,168,sparse complete,2704870,0,119,428,270.48700000000002,57.722676921639732,1.0,,6,1.0,,6,4,False
665,10000,"sk=sqrt_2,th=30%",200,260,1.1230840682983398,1.1230840682983398,0.07877492904663086,0.06271696090698242,,3.0163450241088867,0.663815975189209,0.06310081481933594,,168,sparse condensed const,1352435,0,0,416,135.24350000000001,85.28988572949315,1.0,,6,1.0,,6,0,False
666,10000,"sk=sqrt_2,th=30%",200,260,1.137235164642334,1.137235164642334,0.07779908180236816,0.06289291381835938,,3.016055107116699,0.6576879024505615,0.06309199333190918,,168,sparse condensed const,1352435,0,0,416,135.24350000000001,85.28988572949315,1.0,,6,1.0,,6,1,False
667,10000,"sk=sqrt_2,th=30%",200,260,1.1260459423065186,1.1260459423065186,0.07769203186035156,0.06323122978210449,,3.0230050086975098,0.6641089916229248,0.06310510635375977,,168,sparse condensed const,1352435,0,0,416,135.24350000000001,85.28988572949315,1.0,,6,1.0,,6,2,False
