,n_samples,rule,kmin,kmax,t_ensemble,biggest_cluster,type_mat,t_build,n_assocs,max_assoc,t_sl,accuracy,round
114,50000,"sk=sqrt/2,th=30%",451,586,37.49434494972229,374,False,5.480340957641602,30149690,"(914, 12499)",,,4
115,50000,"sk=300,th=30%",167,217,14.890538930892944,1063,False,14.172313213348389,82851634,"(2754, 14004)",,,0
116,50000,"sk=300,th=30%",167,217,15.02345609664917,958,False,14.108471870422363,83337350,"(2696, 16338)",,,1
117,50000,"sk=300,th=30%",167,217,15.100775003433228,1034,False,14.024018049240112,83084214,"(2534, 13704)",,,2
118,50000,"sk=300,th=30%",167,217,15.113265991210938,1235,False,14.004914045333862,83350210,"(2748, 19589)",,,3
119,50000,"sk=300,th=30%",167,217,15.040966987609863,979,False,14.100381851196289,83053294,"(2635, 47255)",,,4
120,100000,sqrt,159,317,34.62494611740112,1875,False,48.695526123046875,297531840,"(4715, 10263)",,,0
121,100000,sqrt,159,317,34.19947814941406,2019,False,48.973602056503296,296119148,"(4713, 3264)",,,1
122,100000,sqrt,159,317,34.41237688064575,2152,False,48.97697901725769,303420778,"(5125, 64114)",,,2
123,100000,sqrt,159,317,35.08997201919556,1970,False,48.17961812019348,296463494,"(4853, 58773)",,,3
124,100000,sqrt,159,317,35.52499198913574,2136,False,47.297083139419556,291865392,"(4811, 42640)",,,4
125,100000,2sqrt,318,634,67.19264602661133,905,False,24.624775171279907,143250250,"(2216, 91759)",,,0
126,100000,2sqrt,318,634,66.23976707458496,905,False,25.13653802871704,147311956,"(2258, 49252)",,,1
127,100000,2sqrt,318,634,64.43786096572876,911,False,25.854795217514038,151712868,"(2415, 93801)",,,2
128,100000,2sqrt,318,634,65.7217378616333,781,False,25.197283029556274,146117906,"(2187, 49471)",,,3
129,100000,2sqrt,318,634,66.19316792488098,927,False,24.936532974243164,143401780,"(2437, 576)",,,4
130,100000,"sk=sqrt/2,th=30%",633,823,98.11242508888245,467,False,16.29653310775757,85891154,"(1282, 39283)",,,0
131,100000,"sk=sqrt/2,th=30%",633,823,97.74509692192078,519,False,16.407826900482178,87475352,"(1261, 52439)",,,1
132,100000,"sk=sqrt/2,th=30%",633,823,99.94515895843506,461,False,16.00595188140869,84670296,"(1258, 15039)",,,2
133,100000,"sk=sqrt/2,th=30%",633,823,98.70981407165527,534,False,16.2191219329834,86084202,"(1325, 89727)",,,3
134,100000,"sk=sqrt/2,th=30%",633,823,110.74328184127808,451,False,16.063479900360107,85151416,"(1315, 20515)",,,4
135,100000,"sk=300,th=30%",334,434,53.727126121520996,1010,False,30.000540018081665,163975210,"(2523, 51987)",,,0
136,100000,"sk=300,th=30%",334,434,53.48670506477356,935,False,30.16303300857544,165974604,"(2446, 13595)",,,1
137,100000,"sk=300,th=30%",334,434,53.840087890625,923,False,29.927649974822998,163928632,"(2432, 86684)",,,2
138,100000,"sk=300,th=30%",334,434,53.92333197593689,910,False,29.85857605934143,163029098,"(2405, 39444)",,,3
139,100000,"sk=300,th=30%",334,434,53.563308000564575,952,False,30.183594942092896,166300676,"(2531, 52084)",,,4
140,,,,,,,,,,,,,
141,,,,,,,,,,,,,
142,,,,,,,,,,,,,
143,,,,,,,,,,,,,
144,,,,,,,,,,,,,
145,,,,,,,,,,,,,
146,,,,,,,,,,,,,
147,,,,,,,,,,,,,
148,,,,,,,,,,,,,
149,,,,,,,,,,,,,
150,,,,,,,,,,,,,
151,,,,,,,,,,,,,
152,,,,,,,,,,,,,
153,,,,,,,,,,,,,
154,,,,,,,,,,,,,
155,,,,,,,,,,,,,
156,,,,,,,,,,,,,
157,,,,,,,,,,,,,
158,,,,,,,,,,,,,
159,,,,,,,,,,,,,
160,,,,,,,,,,,,,
161,,,,,,,,,,,,,
162,,,,,,,,,,,,,
163,,,,,,,,,,,,,
164,,,,,,,,,,,,,
165,,,,,,,,,,,,,
166,,,,,,,,,,,,,
167,,,,,,,,,,,,,
168,,,,,,,,,,,,,
169,,,,,,,,,,,,,
170,,,,,,,,,,,,,
171,,,,,,,,,,,,,
172,,,,,,,,,,,,,
173,,,,,,,,,,,,,
174,,,,,,,,,,,,,
175,,,,,,,,,,,,,
176,,,,,,,,,,,,,
177,,,,,,,,,,,,,
178,,,,,,,,,,,,,
179,,,,,,,,,,,,,
180,,,,,,,,,,,,,
181,,,,,,,,,,,,,
182,,,,,,,,,,,,,
183,,,,,,,,,,,,,
184,,,,,,,,,,,,,
185,,,,,,,,,,,,,
186,,,,,,,,,,,,,
187,,,,,,,,,,,,,
188,,,,,,,,,,,,,
189,,,,,,,,,,,,,
190,,,,,,,,,,,,,
191,,,,,,,,,,,,,
192,,,,,,,,,,,,,
193,,,,,,,,,,,,,
194,,,,,,,,,,,,,
195,,,,,,,,,,,,,
196,,,,,,,,,,,,,
197,,,,,,,,,,,,,
198,,,,,,,,,,,,,
199,,,,,,,,,,,,,
200,,,,,,,,,,,,,
201,,,,,,,,,,,,,
202,,,,,,,,,,,,,
203,,,,,,,,,,,,,
204,,,,,,,,,,,,,
205,,,,,,,,,,,,,
206,,,,,,,,,,,,,
207,,,,,,,,,,,,,
208,,,,,,,,,,,,,
209,,,,,,,,,,,,,
210,,,,,,,,,,,,,
211,,,,,,,,,,,,,
212,,,,,,,,,,,,,
213,,,,,,,,,,,,,
214,,,,,,,,,,,,,
215,,,,,,,,,,,,,
216,,,,,,,,,,,,,
217,,,,,,,,,,,,,
218,,,,,,,,,,,,,
219,,,,,,,,,,,,,
