,Unnamed: 0,n_samples,rule,kmin,kmax,t_ensemble,t_build,t_sl,t_accuracy_CI,t_accuracy_H,t_sl_disk,t_store,t_accuracy_CI_disk,t_accuracy_H_disk,biggest_cluster,type_mat,n_assocs,n_max_degree,min_degree,max_degree,mean_degree,std_degree,accuracy_CI,accuracy_H,sl_clusts,accuracy_CI_disk,accuracy_H_disk,sl_clusts_disk,round,disk
39,39,500.0,2sqrt,24.0,46.0,0.0353438854218,0.0353438854218,0.00223398208618,0.00355815887451,,0.231225967407,0.0365381240845,0.00370287895203,,93.0,sparse complete,41458.0,0.0,58.0,116.0,82.916,9.26957086385,0.842,,5.0,0.842,,5.0,4.0,False
40,40,500.0,2sqrt,24.0,46.0,0.0224509239197,0.0224509239197,0.00137209892273,0.00358700752258,,0.227318048477,0.0359449386597,0.00360703468323,,93.0,sparse condensed const,20729.0,0.0,0.0,98.0,41.458,24.6859521996,0.842,,5.0,0.842,,5.0,0.0,False
41,41,500.0,2sqrt,24.0,46.0,0.0226061344147,0.0226061344147,0.00136613845825,0.00357985496521,,0.224108934402,0.035856962204,0.00367617607117,,93.0,sparse condensed const,20729.0,0.0,0.0,98.0,41.458,24.6859521996,0.842,,5.0,0.842,,5.0,1.0,False
42,42,500.0,2sqrt,24.0,46.0,0.0224769115448,0.0224769115448,0.00137710571289,0.00357389450073,,0.224451065063,0.0359148979187,0.00361895561218,,93.0,sparse condensed const,20729.0,0.0,0.0,98.0,41.458,24.6859521996,0.842,,5.0,0.842,,5.0,2.0,False
43,43,500.0,2sqrt,24.0,46.0,0.0225369930267,0.0225369930267,0.00139689445496,0.00363206863403,,0.22368311882,0.0359311103821,0.00358319282532,,93.0,sparse condensed const,20729.0,0.0,0.0,98.0,41.458,24.6859521996,0.842,,5.0,0.842,,5.0,3.0,False
44,44,500.0,2sqrt,24.0,46.0,0.0224390029907,0.0224390029907,0.00138902664185,0.00355195999146,,0.223176002502,0.0359721183777,0.00361895561218,,93.0,sparse condensed const,20729.0,0.0,0.0,98.0,41.458,24.6859521996,0.842,,5.0,0.842,,5.0,4.0,False
45,45,500.0,2sqrt,24.0,46.0,0.0224659442902,0.0224659442902,0.00137996673584,0.00358414649963,,0.225620031357,0.0359148979187,0.0036609172821,,93.0,sparse condensed linear,20729.0,0.0,0.0,98.0,41.458,24.6859521996,0.842,,5.0,0.842,,5.0,0.0,False
46,46,500.0,2sqrt,24.0,46.0,0.0224900245667,0.0224900245667,0.00137186050415,0.0035719871521,,0.224437952042,0.0361099243164,0.00361919403076,,93.0,sparse condensed linear,20729.0,0.0,0.0,98.0,41.458,24.6859521996,0.842,,5.0,0.842,,5.0,1.0,False
47,47,500.0,2sqrt,24.0,46.0,0.0224349498749,0.0224349498749,0.0013689994812,0.00353384017944,,0.222528934479,0.0359308719635,0.00361108779907,,93.0,sparse condensed linear,20729.0,0.0,0.0,98.0,41.458,24.6859521996,0.842,,5.0,0.842,,5.0,2.0,False
48,48,500.0,2sqrt,24.0,46.0,0.0224521160126,0.0224521160126,0.00137186050415,0.00359892845154,,0.224175930023,0.0360100269318,0.00364995002747,,93.0,sparse condensed linear,20729.0,0.0,0.0,98.0,41.458,24.6859521996,0.842,,5.0,0.842,,5.0,3.0,False
49,49,500.0,2sqrt,24.0,46.0,0.0224859714508,0.0224859714508,0.00137281417847,0.00357699394226,,0.223703145981,0.0359420776367,0.00362706184387,,93.0,sparse condensed linear,20729.0,0.0,0.0,98.0,41.458,24.6859521996,0.842,,5.0,0.842,,5.0,4.0,False
50,50,500.0,"sk=sqrt_2,th=30%",46.0,60.0,0.00396704673767,0.00396704673767,0.00575590133667,0.00359416007996,,,,,,66.0,full,250000.0,0.0,500.0,500.0,500.0,0.0,0.842,,5.0,,,,0.0,False
51,51,500.0,"sk=sqrt_2,th=30%",46.0,60.0,0.00459098815918,0.00459098815918,0.0057098865509,0.00356507301331,,,,,,66.0,full,250000.0,0.0,500.0,500.0,500.0,0.0,0.842,,5.0,,,,1.0,False
52,52,500.0,"sk=sqrt_2,th=30%",46.0,60.0,0.00458288192749,0.00458288192749,0.00573086738586,0.00357413291931,,,,,,66.0,full,250000.0,0.0,500.0,500.0,500.0,0.0,0.842,,5.0,,,,2.0,False
53,53,500.0,"sk=sqrt_2,th=30%",46.0,60.0,0.00461196899414,0.00461196899414,0.00597906112671,0.00355291366577,,,,,,66.0,full,250000.0,0.0,500.0,500.0,500.0,0.0,0.842,,5.0,,,,3.0,False
54,54,500.0,"sk=sqrt_2,th=30%",46.0,60.0,0.00458407402039,0.00458407402039,0.00567317008972,0.00357913970947,,,,,,66.0,full,250000.0,0.0,500.0,500.0,500.0,0.0,0.842,,5.0,,,,4.0,False
55,55,500.0,"sk=sqrt_2,th=30%",46.0,60.0,0.00481414794922,0.00481414794922,0.00554418563843,0.00354409217834,,,,,,66.0,full condensed,124750.0,1.0,0.0,499.0,249.5,144.337278622,0.842,,5.0,,,,0.0,False
56,56,500.0,"sk=sqrt_2,th=30%",46.0,60.0,0.00480008125305,0.00480008125305,0.00560212135315,0.00354695320129,,,,,,66.0,full condensed,124750.0,1.0,0.0,499.0,249.5,144.337278622,0.842,,5.0,,,,1.0,False
57,57,500.0,"sk=sqrt_2,th=30%",46.0,60.0,0.0048201084137,0.0048201084137,0.00555109977722,0.00356817245483,,,,,,66.0,full condensed,124750.0,1.0,0.0,499.0,249.5,144.337278622,0.842,,5.0,,,,2.0,False
58,58,500.0,"sk=sqrt_2,th=30%",46.0,60.0,0.00481200218201,0.00481200218201,0.00564098358154,0.00357604026794,,,,,,66.0,full condensed,124750.0,1.0,0.0,499.0,249.5,144.337278622,0.842,,5.0,,,,3.0,False
59,59,500.0,"sk=sqrt_2,th=30%",46.0,60.0,0.00483298301697,0.00483298301697,0.00560092926025,0.00359296798706,,,,,,66.0,full condensed,124750.0,1.0,0.0,499.0,249.5,144.337278622,0.842,,5.0,,,,4.0,False
